Tätigkeit,Einsatzplätze,Einsatzbetriebe
Katastrophen und Notlagen / Aide en cas de catastrophes et situations d’urgence / Aiuto in caso di catastrofe e di situazioni d’emergenza,48,11
Entwicklungszusammenarbeit / Coopération au développement / Cooperazione per lo sviluppo,199,46
Schulwesen / Instruction publique / Scuola,1750,567
Landwirtschaft / Agriculture / Agricoltura,951,830
Umwelt- und Naturschutz / Protection de la nature et de l’environnement / Protezione dell’ambiente e della natura,1685,346
Kulturgütererhaltung / Conservation des biens culturels / Conservazione dei beni culturali,551,208
Sozialwesen / Social / Servizi sociali,8344,2029
Gesundheitswesen / Santé / Sanità,2242,227
